county_fips,year,bea_total_income,population,bls_labor_force,bls_employed
4025,2020,11138173000,237216,103882,96224
4025,2021,12125489000,242193,105074,100533
4025,2022,12739608000,246191,107069,103377
4027,2020,8626323000,204528,95258,78941
4027,2021,9133418000,206241,93520,81293
4027,2022,9313549000,207842,97522,85370
5001,2020,889787000,17107,9269,8891
5001,2021,986456000,16683,9251,8934
5001,2022,954705000,16512,9199,8904
5003,2020,755635000,18962,7057,6386
5003,2021,805232000,18649,6696,6208
5003,2022,820289000,18354,6658,6299
5005,2020,1711844000,41687,16289,15297
5005,2021,1854314000,42171,16066,15453
5005,2022,1884203000,42435,16365,15796
5007,2020,23837710000,286586,141573,135231
5007,2021,27734350000,294337,143812,139771
5007,2022,29929592000,302863,151087,147613
5009,2020,1441937000,37383,15579,14742
5009,2021,1609353000,37890,15589,15114
5009,2022,1621982000,38284,15719,15278
5011,2020,452701000,10488,4291,4034
5011,2021,484062000,10332,4029,3836
5011,2022,493979000,10135,4059,3863
5013,2020,201548000,4738,2372,2246
5013,2021,217459000,4737,2348,2268
5013,2022,220763000,4695,2345,2274
5015,2020,985862000,28242,12514,11792
5015,2021,1164909000,28480,12522,12089
5015,2022,1199428000,28742,12370,12015
5017,2020,450882000,10157,3160,2823
5017,2021,489973000,10071,3007,2750
5017,2022,448138000,9873,2971,2792
5019,2020,890633000,21387,9102,8550
5019,2021,908431000,21217,8674,8258
5019,2022,899714000,21250,8436,8066
5021,2020,572509000,14528,5449,5113
5021,2021,641056000,14370,5332,5117
5021,2022,621016000,14265,5400,5191
5023,2020,1113788000,24696,9037,8337
5023,2021,1193094000,25044,8863,8447
5023,2022,1225404000,25284,8909,8543
5025,2020,318937000,7550,3200,3003
5025,2021,358307000,7490,3077,2952
5025,2022,382501000,7467,3069,2954
5027,2020,941364000,22742,8903,8282
5027,2021,990615000,22510,8668,8200
5027,2022,1006341000,22216,8691,8321
5029,2020,869822000,20729,8276,7766
5029,2021,961031000,20911,8198,7853
5029,2022,997242000,21046,8333,8030
5031,2020,4722967000,111603,55666,52654
5031,2021,5225662000,111788,55855,54022
5031,2022,5240992000,113017,57007,55481
5033,2020,2312530000,60147,26200,24751
5033,2021,2495071000,60423,25762,24830
5033,2022,2548937000,61075,26156,25343
5035,2020,1992354000,48086,20752,18983
5035,2021,2147119000,47475,20182,19080
5035,2022,2074083000,47061,20422,19620
5037,2020,674797000,16796,7138,6694
5037,2021,714507000,16693,6908,6602
5037,2022,682241000,16601,6903,6656
5039,2020,281645000,6442,2771,2619
5039,2021,292289000,6306,2731,2617
5039,2022,291264000,6191,2696,2591
5041,2020,505934000,11320,5200,4826
5041,2021,551776000,11050,4876,4584
5041,2022,519235000,10771,4885,4633
5043,2020,741649000,17314,7583,7048
5043,2021,787625000,17070,7395,7018
5043,2022,786634000,16911,7369,7054
5045,2020,5524890000,123811,61106,57714
5045,2021,5953499000,125645,61215,59082
5045,2022,6148429000,127665,63082,61301
5047,2020,613609000,17135,7361,6938
5047,2021,696902000,17166,7205,6934
5047,2022,726190000,17271,7361,7122
5049,2020,392261000,12057,4843,4589
5049,2021,422282000,12156,4859,4678
5049,2022,421076000,12382,4948,4785
5051,2020,4524202000,100249,41027,37708
5051,2021,4794647000,100386,41120,39100
5051,2022,4855065000,100089,41483,39936
5053,2020,776128000,18022,8167,7736
5053,2021,822901000,18149,8172,7908
5053,2022,832590000,18160,8457,8205
5055,2020,1788393000,45864,19282,18110
5055,2021,1925991000,46349,19102,18432
5055,2022,1930354000,46448,19555,18936
5057,2020,711708000,19981,9458,8956
5057,2021,797397000,19679,9021,8697
5057,2022,835478000,19453,9259,8965
5059,2020,1155253000,33075,13869,13049
5059,2021,1243249000,33108,13721,13184
5059,2022,1250402000,33203,13683,13216
5061,2020,460065000,12755,5456,5176
5061,2021,549620000,12676,5402,5222
5061,2022,593830000,12557,5334,5161
5063,2020,1463218000,37936,16445,15479
5063,2021,1624713000,37742,16182,15545
5063,2022,1677784000,37945,16433,15897
5065,2020,446722000,13597,4576,4182
5065,2021,479722000,13928,4364,4126
5065,2022,486899000,14048,4437,4214
5067,2020,704723000,16755,5751,5328
5067,2021,740685000,16780,5512,5217
5067,2022,763307000,16624,5435,5173
5069,2020,2563739000,66833,26872,24662
5069,2021,2711383000,65649,25836,24153
5069,2022,2620357000,64246,25461,24176
5071,2020,819712000,25722,9965,9323
5071,2021,911526000,25977,9694,9230
5071,2022,923172000,26001,9966,9565
5073,2020,255543000,6299,2378,2192
5073,2021,291415000,6155,2289,2156
5073,2022,303143000,6101,2289,2183
5075,2020,634030000,16212,6690,6270
5075,2021,659532000,16316,6637,6351
5075,2022,684995000,16205,6757,6522
5077,2020,281931000,8528,2701,2490
5077,2021,338841000,8559,2520,2377
5077,2022,299580000,8364,2552,2439
5079,2020,380907000,12889,3805,3575
5079,2021,437200000,13151,3691,3519
5079,2022,426771000,12916,3680,3521
5081,2020,455785000,11975,5261,4911
5081,2021,488942000,11954,5131,4895
5081,2022,492826000,11821,5140,4947
5083,2020,751733000,21103,8526,7947
5083,2021,828606000,21207,8259,7907
5083,2022,868001000,21253,8232,7927
5085,2020,3344635000,74046,33270,31393
5085,2021,3587415000,74766,33232,32116
5085,2022,3643342000,75225,34233,33300
5087,2020,581400000,16546,7281,6990
5087,2021,728676000,16936,7447,7214
5087,2022,776295000,17486,7763,7577
5089,2020,570560000,16877,6157,5752
5089,2021,629846000,16970,6012,5750
5089,2022,633539000,17254,6205,5979
5091,2020,1601509000,42579,19011,17671
5091,2021,1718347000,42499,18561,17645
5091,2022,1701140000,42552,18528,17824
5093,2020,1535387000,40544,16982,15414
5093,2021,1798038000,39577,16060,14920
5093,2022,1690235000,38896,16167,15340
5095,2020,266730000,6774,2675,2494
5095,2021,284617000,6660,2583,2443
5095,2022,263367000,6564,2520,2411
5097,2020,295907000,8488,2911,2705
5097,2021,323885000,8638,2852,2711
5097,2022,324465000,8556,2846,2714
5099,2020,292888000,8285,3484,3274
5099,2021,320541000,8195,3315,3177
5099,2022,331338000,8181,3408,3278
5101,2020,255603000,7193,3131,2968
5101,2021,274661000,7164,3144,3045
5101,2022,267799000,7078,3167,3075
5103,2020,982695000,22614,9668,9072
5103,2021,1048265000,22344,9543,9162
5103,2022,1060554000,22049,9550,9188
5105,2020,406292000,10000,4072,3839
5105,2021,432755000,9989,4102,3932
5105,2022,445440000,10063,4219,4072
5107,2020,660447000,16443,6196,5617
5107,2021,735350000,15822,5767,5324
5107,2022,678609000,15304,5475,5137
5109,2020,360001000,10172,4196,3942
5109,2021,409559000,10121,4155,3970
5109,2022,420273000,10179,4028,3883
5111,2020,897929000,22952,9638,9091
5111,2021,982637000,22730,9697,9318
5111,2022,956842000,22495,9880,9555
5113,2020,651887000,19187,7866,7330
5113,2021,734452000,19331,7640,7294
5113,2022,766743000,19337,7779,7502
5115,2020,2395561000,63403,27387,25735
5115,2021,2639042000,63756,26850,25759
5115,2022,2671080000,64065,27351,26322
5117,2020,337175000,8246,3551,3357
5117,2021,358569000,8094,3504,3374
5117,2022,351242000,8069,3504,3403
5119,2020,22224069000,399246,186410,172305
5119,2021,24069176000,398069,185396,176355
5119,2022,24577444000,399145,189421,183068
5121,2020,687895000,18590,7320,6877
5121,2021,756971000,18842,7193,6903
5121,2022,771640000,18837,7147,6911
5123,2020,772479000,23013,7886,7251
5123,2021,839301000,22701,7544,7077
5123,2022,800581000,22451,7542,7186
5125,2020,5853561000,123815,57931,54956
5125,2021,6415223000,125319,58094,56254
5125,2022,6664373000,127357,59981,58390
5127,2020,333388000,9828,4272,4077
5127,2021,371120000,9795,4132,3991
5127,2022,391170000,9805,4184,4070
5129,2020,247417000,7842,2827,2642
5129,2021,272791000,7880,2858,2733
5129,2022,266175000,7918,2826,2702
5131,2020,5785033000,127800,55436,52065
5131,2021,6143094000,128425,54271,52239
5131,2022,6244050000,129059,54978,53329
5133,2020,562182000,15779,5446,5122
5133,2021,656462000,15709,5282,5043
5133,2022,703523000,15686,5355,5152
5135,2020,642272000,17319,5618,5208
5135,2021,727498000,17660,5574,5296
5135,2022,778798000,17810,5767,5536
5137,2020,420786000,12350,4545,4216
5137,2021,463067000,12432,4466,4238
5137,2022,463480000,12575,4505,4322
5139,2020,1966644000,38926,15352,14046
5139,2021,1912584000,38364,14775,13875
5139,2022,1932163000,37752,14663,13979
5141,2020,566489000,15801,5672,5259
5141,2021,615155000,15751,5763,5480
5141,2022,619122000,16102,5906,5661
5143,2020,11075145000,246756,125428,119568
5143,2021,12289180000,251692,127316,123612
5143,2022,12491671000,256054,133513,130518
5145,2020,3136841000,76851,33449,31311
5145,2021,3334976000,77157,33347,31988
5145,2022,3388120000,77755,33928,32772
5147,2020,284717000,6228,2777,2612
5147,2021,310727000,6153,2721,2583
5147,2022,304344000,6049,2773,2678
5149,2020,744752000,20214,7794,7387
5149,2021,845734000,20152,7714,7399
5149,2022,886286000,20129,7841,7548
6001,2020,147136291000,1680380,818093,745114
6001,2021,162176203000,1643837,811171,761786
6001,2022,159241119000,1628997,819817,792342
6003,2020,89202000,1204,514,454
6003,2021,86288000,1235,512,470
6003,2022,80386000,1190,495,467
6005,2020,1919536000,40532,14474,13118
6005,2021,2056386000,41144,14367,13362
6005,2022,2006939000,41412,14281,13640
6007,2020,10781637000,210135,93234,84510
6007,2021,11548920000,206190,92013,85667
6007,2022,11396345000,207303,91513,87374
6009,2020,2452765000,45346,21353,19688
6009,2021,2621697000,46219,21558,20311
6009,2022,2607568000,46563,22093,21275
6011,2020,1225922000,21858,10622,8877
6011,2021,1295098000,21913,10645,9310
6011,2022,1216260000,21914,10199,9000
6013,2020,100692971000,1165986,546310,497173
6013,2021,110320394000,1163298,542794,508168
6013,2022,109965993000,1156966,547625,528017
6015,2020,1144798000,27601,9429,8519
6015,2021,1231849000,27553,9330,8621
6015,2022,1182855000,27082,9286,8801
6017,2020,14187909000,191220,90888,83202
6017,2021,15436024000,193590,91675,86361
6017,2022,15808893000,192646,92350,89173
6019,2020,48552515000,1009503,445633,393753
6019,2021,52363942000,1012992,443526,402977
6019,2022,51316407000,1015190,450096,420893
6021,2020,1430189000,28896,12760,11612
6021,2021,1497724000,28664,12601,11715
6021,2022,1446856000,28339,12756,12062
6023,2020,6850029000,136261,59754,54656
6023,2021,7310048000,134836,58777,55072
6023,2022,7296395000,135010,59089,56694
6025,2020,8183274000,179595,71538,55364
6025,2021,8643247000,179215,68865,56838
6025,2022,8075656000,178713,69936,59517
6027,2020,1134595000,19001,8319,7656
6027,2021,1153492000,18927,8240,7750
6027,2022,1151182000,18718,8158,7849
6029,2020,40300516000,905828,386344,336819
6029,2021,42561996000,912351,384999,346802
6029,2022,41098858000,916108,389174,361729
6031,2020,6292586000,152790,57004,50252
6031,2021,6690054000,152679,55335,49971
6031,2022,6505590000,152981,56169,52180
6033,2020,3001704000,68195,28458,25682
6033,2021,3213324000,68584,28383,26217
6033,2022,3111067000,68191,28370,26937
6035,2020,1230010000,32317,9412,8718
6035,2021,1309137000,31813,9135,8579
6035,2022,1217102000,29904,8701,8297
6037,2020,673306158000,9992236,4974673,4363337
6037,2021,720046822000,9811842,5007551,4558859
6037,2022,720740528000,9721138,5013363,4764528
6039,2020,6940713000,156343,61945,55065
6039,2021,7553475000,158910,62092,56630
6039,2022,7436909000,160256,62934,59007
6041,2020,37796487000,261282,130647,121786
6041,2021,42936183000,259162,129192,123315
6041,2022,43824350000,256018,131097,127573
6043,2020,979407000,17118,7203,6402
6043,2021,1036419000,17107,7036,6479
6043,2022,1042143000,17020,7252,6923
6045,2020,4794385000,91361,37159,33785
6045,2021,5159935000,91003,36740,34427
6045,2022,5145470000,89783,36991,35444
6047,2020,12445651000,281814,115496,101032
6047,2021,13532782000,284458,114952,103082
6047,2022,13395227000,290014,115390,106429
6049,2020,459764000,8663,3181,2901
6049,2021,476942000,8571,3188,2959
6049,2022,481376000,8511,3176,3000
6051,2020,798867000,13226,7883,6932
6051,2021,834235000,13261,8286,7719
6051,2022,847409000,12978,8611,8284
6053,2020,26398134000,438390,214206,190346
6053,2021,28333347000,437249,211753,194236
6053,2022,28189179000,432858,217156,203927
6055,2020,11260752000,137485,68890,62735
6055,2021,11907435000,136206,68404,64252
6055,2022,11665710000,134300,70453,68149
6057,2020,6796594000,102249,46778,42981
6057,2021,7333293000,103457,47263,44592
6057,2022,7442705000,102293,48062,46383
6059,2020,240734263000,3185516,1563811,1424333
6059,2021,257834298000,3161005,1557249,1464099
6059,2022,263290135000,3151184,1579268,1528545
6061,2020,30054657000,405889,187003,173074
6061,2021,32903884000,412789,189159,179558
6061,2022,34170169000,417772,191660,185671
6063,2020,1079139000,19749,7628,6787
6063,2021,1170312000,19940,7464,6761
6063,2022,1149201000,19351,7353,6866
6065,2020,116939915000,2422847,1118880,1006179
6065,2021,126261006000,2453178,1130544,1047722
6065,2022,127195983000,2473902,1145702,1097218
6067,2020,90813891000,1586465,710803,643643
6067,2021,98105641000,1588106,718133,668371
6067,2022,97517936000,1584169,720302,691493
6069,2020,3864377000,64521,32548,29328
6069,2021,4143744000,66675,31761,29441
6069,2022,4169135000,67579,32217,30578
6071,2020,100359889000,2183239,972807,879264
6071,2021,108700135000,2192882,990040,916582
6071,2022,108081645000,2193656,1002951,961203
6073,2020,222600097000,3296045,1544298,1399329
6073,2021,240216669000,3274954,1544408,1444339
6073,2022,243506541000,3276208,1578463,1523260
6075,2020,117292346000,870393,559015,514683
6075,2021,129774521000,811253,547402,519636
6075,2022,125970097000,808437,567632,552887
6077,2020,40056124000,780558,334765,296348
6077,2021,43999624000,788140,336140,307273
6077,2022,42979635000,793229,342165,323905
6079,2020,17765128000,281879,134154,123695
6079,2021,19192484000,279298,135129,127925
6079,2022,19162980000,282013,135812,131625
6081,2020,108186874000,762511,438610,408287
6081,2021,129090019000,739060,432429,412404
6081,2022,127657596000,729181,449439,438377
6083,2020,30839511000,448244,218513,200743
6083,2021,33642845000,437434,219384,206705
6083,2022,33607554000,443837,216446,208544
6085,2020,240677946000,1931026,1023652,950754
6085,2021,272711739000,1886595,1010149,961615
6085,2022,270162197000,1870945,1031488,1003697
6087,2020,21176826000,270462,134838,121753
6087,2021,23183258000,260495,132830,123628
6087,2022,22832350000,264370,132690,126244
6089,2020,9325879000,181984,73261,66741
6089,2021,9926304000,181981,72834,67802
6089,2022,9791945000,180930,72482,69099
6091,2020,145880000,3228,1286,1179
6091,2021,154098000,3295,1305,1225
6091,2022,154021000,3217,1312,1257
6093,2020,2168815000,43991,16967,15269
6093,2021,2310238000,44026,16667,15315
6093,2022,2261048000,43660,16531,15573
6095,2020,25816822000,452698,201823,182148
6095,2021,26963798000,450350,200230,185378
6095,2022,26149679000,448747,200869,192263
6097,2020,35091038000,488281,245738,225996
6097,2021,38047053000,484315,243140,229659
6097,2022,37598558000,482650,246535,238693
6099,2020,26848535000,553217,242015,215474
6099,2021,28820142000,552851,239670,219675
6099,2022,28123096000,551275,240829,227552
6101,2020,4927076000,99464,45513,40347
